STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/01/20,3.8,,0,0,0,,65,47,260,260,10.1,14.1,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/02/20,3.58,,0,0,0,,62,49,80,90,8.9,14.1,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/03/20,3.36,,0,0,0,,71,49,220,220,8.9,11,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/04/20,2.01,,0,0,0,,64,46,230,240,8.1,10.1,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/05/20,5.59,,0,0,0,,64,45,20,20,15,23.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/06/20,4.25,,0,0,0,,76,47,360,350,8.9,15,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/07/20,4.92,,0,0,0,,78,52,240,350,10.1,14.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/08/20,3.8,,0,0,0,,61,50,210,220,10.1,14.1,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/09/20,4.47,,0,0,0,,60,50,220,350,14.1,19.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/10/20,4.7,,0,0,0,,66,45,220,220,12.1,14.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/11/20,3.13,,0,0,0,,61,44,260,240,8.9,13,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/12/20,3.58,,0,0,0,,59,46,220,220,12.1,16.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/13/20,3.36,,0,0,0,,60,46,240,240,10.1,14.1,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/14/20,3.36,,0,0,0,,59,44,220,220,10.1,14.1,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/15/20,3.36,,0,0,0,,60,44,230,260,10.1,13,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/16/20,4.25,,0.38,,0,,58,46,240,240,14.1,18.1,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/17/20,3.58,,0.09,,0,,62,45,220,220,10.1,14.1,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/18/20,4.47,,0,0,0,,70,45,30,10,8.9,14.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/19/20,3.58,,0,0,0,,78,51,260,260,12.1,16.1,,,,,,,,
