latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-6.37948,155.40761,314.38,1.1,1.05,5/20/22,1,T,22,6.1NRT,300.16,7.74,D
-9.6926,149.99208,310.39,1.22,1.1,5/20/22,1,T,61,6.1NRT,297.69,6.03,D
-10.10015,150.0502,313.78,1.19,1.09,5/20/22,1,T,67,6.1NRT,297.31,7.97,D
-15.452,141.58847,309.38,3.9,1.84,5/20/22,3,T,60,6.1NRT,294.22,26.86,D
-34.0828,140.84576,303.11,1.71,1.28,5/20/22,9,T,55,6.1NRT,281.63,16.76,D
-11.66671,-44.82532,304.86,4,1.86,5/20/22,48,T,62,6.1NRT,286.78,54.13,N
-11.67053,-44.86178,301.07,4.03,1.86,5/20/22,48,T,24,6.1NRT,286.42,37.5,N
-11.66195,-44.83139,307.51,4,1.86,5/20/22,48,T,72,6.1NRT,286.91,71.16,N
-8.97994,-40.60046,313.91,1.71,1.28,5/20/22,48,T,88,6.1NRT,281.87,27.88,N
-8.98195,-40.61583,315.73,1.71,1.28,5/20/22,48,T,92,6.1NRT,282.22,31.71,N
-3.57868,-38.86259,312.14,1.12,1.06,5/20/22,50,T,84,6.1NRT,289.56,10.66,N
-35.57722,147.93486,303.18,1.03,1.02,5/20/22,9,T,55,6.1NRT,283.28,7.55,D
-37.1683,141.21716,307.76,1.41,1.18,5/20/22,9,T,66,6.1NRT,284.97,17,D
-37.53371,140.49973,316.61,1.51,1.21,5/20/22,9,T,77,6.1NRT,283.25,30.75,D
-37.53703,140.51672,327.75,1.51,1.21,5/20/22,9,T,85,6.1NRT,283.19,51.74,D
-41.453,147.55118,303.03,1.12,1.05,5/20/22,11,T,55,6.1NRT,276.06,10.98,D
-41.45465,147.56477,326.86,1.12,1.05,5/20/22,11,T,85,6.1NRT,276.61,34.55,D
-42.70618,147.76576,309.51,1.17,1.08,5/20/22,11,T,64,6.1NRT,276.47,15.23,D
-42.70662,147.75903,326.39,1.17,1.08,5/20/22,11,T,84,6.1NRT,277.46,34.93,D
-42.7164,147.75726,300.17,1.17,1.08,5/20/22,11,T,30,6.1NRT,276.58,8.74,D
56.04973,36.71133,307.2,1.11,1.05,5/20/22,16,A,71,6.1NRT,273.67,14.91,N
54.56526,33.20525,313.64,1.01,1,5/20/22,16,A,88,6.1NRT,276.08,17.16,N
54.56287,33.22039,300.28,1.01,1,5/20/22,16,A,24,6.1NRT,276.26,8.39,N
30.76318,27.10242,300.58,1.22,1.1,5/20/22,22,A,30,6.1NRT,288.07,7.07,N
28.90205,20.95696,310.95,1.12,1.06,5/20/22,22,A,81,6.1NRT,290.34,13.06,N
27.98868,22.32427,308.97,1.01,1.01,5/20/22,24,A,76,6.1NRT,291.84,10.17,N
27.65203,22.48503,309.85,1.01,1,5/20/22,24,A,57,6.1NRT,291.88,9.67,N
27.64019,22.50358,309.46,1.01,1,5/20/22,24,A,55,6.1NRT,291.56,9.23,N
