STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/01/18,0,,,,61,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/02/18,0,,,,61,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/03/18,0.09,,,,58,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/04/18,0.06,,,,63,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/05/18,0.26,,,,61,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/06/18,0,,,,59,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/07/18,0,,,,52,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/08/18,3.15,,,,58,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/09/18,0.32,,,,59,51
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/10/18,0.04,,,,56,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/11/18,0,,,,60,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/12/18,0,,,,59,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/13/18,0,,,,63,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/14/18,0,,,,58,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/15/18,0,,,,62,49
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/16/18,0.02,,,,60,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/17/18,0,,,,59,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/18/18,0.43,,,,56,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/19/18,0.02,,,,57,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/20/18,0,,,,57,43
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/21/18,0.02,,,,57,45
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/22/18,0.3,,,,58,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/23/18,0,,,,58,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/24/18,0.42,,,,58,48
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/25/18,0.08,,,,58,46
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/26/18,0,,,,56,45
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/27/18,0,,,,60,45
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/28/18,0,,,,66,47
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/29/18,0,,,,63,52
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/30/18,0,,,,65,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",01/31/18,0,,,,67,50
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/01/18,0,,,,71,53
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/02/18,0,,,,73,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/03/18,0,,,,74,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/04/18,0,,,,74,57
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/05/18,0,,,,77,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/06/18,0,,,,75,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/07/18,0,,,,71,55
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/08/18,0,,,,74,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/09/18,0,,,,76,54
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",02/10/18,0,,,,68,52
