STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/01/18,3.13,,0,0,0,,66,47,240,220,8.9,13,1,,,1
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/02/18,2.91,,0,0,0,,73,52,230,230,12.1,14.1,1,,,1
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/03/18,2.01,,0,0,0,,72,52,230,240,12.1,16.1,1,1,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/04/18,3.13,,0,0,0,,71,53,240,250,10.1,13,,,,1
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/05/18,3.58,,0,0,0,,68,54,240,240,10.1,13,1,1,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/06/18,2.68,,0,0,0,,62,56,220,270,8.9,12.1,1,1,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/07/18,2.46,,0,0,0,,72,56,230,230,10.1,14.1,1,,,1
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/08/18,2.91,,0.42,0,0,,67,60,70,80,8.9,14.1,1,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/09/18,6.71,,1.1,,0,,62,49,190,190,23.9,31.1,1,,,1
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/10/18,4.25,,0,0,0,,63,47,250,270,14.1,25.1,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/11/18,2.91,,0,0,0,,68,48,230,240,10.1,14.1,1,,,1
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/12/18,3.8,,0,0,0,,65,49,220,190,8.9,12.1,1,1,,1
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/13/18,3.8,,0,0,0,,83,55,340,340,6.9,11,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/14/18,4.47,,0,0,0,,83,56,210,210,12.1,14.1,,,,
